% of Total,@Bar Color using Set,@Fake Highlight,@Highlight Bar Chart by Dist,@Highlight Bar Chart by Dist Group,@Swap Bars Filter,Close Date,Days in Theaters,Distributor,Distributor (copy),Distributor (group),Distributor (group) (copy),Highlight by Distributor Color,Length,Open Th,Rank ,Rank  ,Release,Release (copy),Release Date,Release Date (copy),Theaters,Total Gross (bin),@Bottom Bar Instructions Filter,@Bubble Size,@Highlight Bar Chart by Month,@Scatter Instructions Filter,@Top Movies Instructions Filter,@Worldwide Gross Non Null,Budget,Gross per Release,Number of Records,Opening,Random,Rank,Total Gross,Total Gross (copy),Worldwide Gross,Worldwide Profit
-,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),3,29,-,382 / 788,382,311 Enlarged to Show Detail 3,311 Enlarged to Show Detail 3,11/03/2019,11/03/2019,239,0K,21,$0.2 Million,3,11,1,0,,238791,1,0,52190,382,238791,$0.2M,,$0M
46.70%,All Others (101 Total),,NADA,NADA,Month,18/07/2019,34,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),6,14,117,383 / 788,383,American Woman,American Woman,14/06/2019,14/06/2019,117,0K,21,$0.2 Million,6,11,1,0,,236637,1,110552,66805,383,236637,$0.2M,,$0M
60.10%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,20,Eros International,Eros International,All Others (101 Total),All Others (101 Total),4,18,101,384 / 788,384,Romeo Akbar Walter,Romeo Akbar Walter,05/04/2019,05/04/2019,101,0K,21,$0.2 Million,4,11,1,0,,236299,1,142102,34590,384,236299,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,55,239,385 / 788,385,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,28/09/2019,28/09/2019,239,0K,21,$0.2 Million,9,11,1,0,,232973,1,232973,91056,385,232973,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,04/05/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,45,426,386 / 788,386,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,04/05/2019,04/05/2019,426,0K,21,$0.2 Million,5,11,1,0,,230703,1,230703,64790,386,230703,$0.2M,,$0M
30.40%,All Others (101 Total),,NADA,NADA,Month,16/07/2019,95,None Listed,-,All Others (101 Total),All Others (101 Total),4,6,23,387 / 788,387,Mine 9,Mine 9,12/04/2019,12/04/2019,29,0K,21,$0.2 Million,4,11,1,0,,226421,1,68921,47903,387,226421,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,22/01/2019,-203,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),8,18,-,388 / 788,388,Millennium Actress,Millennium Actress,13/08/2019,13/08/2019,512,0K,21,$0.2 Million,8,11,1,0,,225250,1,0,55570,388,225250,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,20/07/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,62,194,389 / 788,389,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,20/07/2019,20/07/2019,194,0K,21,$0.2 Million,7,11,1,0,,223858,1,223858,5279,389,223858,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,43,-,390 / 788,390,Never Surrender: A Galaxy Quest Documentary,Never Surrender: A Galaxy Quest Documentary,26/11/2019,26/11/2019,556,0K,21,$0.2 Million,11,11,1,0,,222971,1,0,35601,390,222971,$0.2M,,$0M
9.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),9,10,2,391 / 788,391,First Love,First Love,27/09/2019,27/09/2019,40,0K,21,$0.2 Million,9,11,1,0,,218329,1,21151,84537,391,218329,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Five & Two Pictures,Five & Two Pictures,All Others (101 Total),All Others (101 Total),1,14,-,392 / 788,392,Play the Flute,Play the Flute,27/01/2019,27/01/2019,11,0K,21,$0.2 Million,1,11,1,0,,217560,1,0,72054,392,217560,$0.2M,,$0M
36.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),6,32,21,393 / 788,393,"The Gangster, the Cop, the Devil","The Gangster, the Cop, the Devil",07/06/2019,07/06/2019,21,0K,21,$0.2 Million,6,11,1,0,,216494,1,78655,21673,393,216494,$0.2M,,$0M
65.30%,All Others (101 Total),,NADA,NADA,Month,02/04/2019,2,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),3,14,588,394 / 788,394,The Karate Kid,The Karate Kid,31/03/2019,31/03/2019,588,0K,21,$0.2 Million,3,11,1,0,,215447,1,140623,20798,394,215447,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,08/07/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,6,-,395 / 788,395,Hamlet,Hamlet,08/07/2019,08/07/2019,572,0K,21,$0.2 Million,7,11,1,0,,214578,1,0,64558,395,214578,$0.2M,,$0M
8.70%,All Others (101 Total),,NADA,NADA,Month,,NA,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),12,10,4,396 / 788,396,Cunningham,Cunningham,13/12/2019,13/12/2019,23,0K,21,$0.2 Million,12,11,1,0,,211175,1,18422,7246,396,211175,$0.2M,,$0M
26.40%,All Others (101 Total),,NADA,NADA,Month,13/06/2019,90,ArtAffects Entertainment,ArtAffects Entertainment,All Others (101 Total),All Others (101 Total),3,18,18,397 / 788,397,"Faith, Hope & Love","Faith, Hope & Love",15/03/2019,15/03/2019,18,0K,21,$0.2 Million,3,11,1,0,,210091,1,55403,99212,397,210091,$0.2M,,$0M
44.20%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,20,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),4,27,61,398 / 788,398,Master Z: The Ip Man Legacy,Master Z: The Ip Man Legacy,12/04/2019,12/04/2019,61,0K,21,$0.2 Million,4,11,1,0,,209454,1,92663,3916,398,209454,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,31/07/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,32,-,399 / 788,399,Kathy Griffin: A Hell of a Story,Kathy Griffin: A Hell of a Story,31/07/2019,31/07/2019,648,0K,21,$0.2 Million,7,11,1,0,,208907,1,0,11902,399,208907,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,19/05/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,38,362,400 / 788,400,Bolshoi Ballet: Carmen Suite/Petrushka,Bolshoi Ballet: Carmen Suite/Petrushka,19/05/2019,19/05/2019,362,0K,21,$0.2 Million,5,11,1,0,,207523,1,207523,91881,400,207523,$0.2M,,$0M
22.40%,All Others (101 Total),,NADA,NADA,Month,04/04/2019,42,None Listed,-,All Others (101 Total),All Others (101 Total),2,16,8,401 / 788,401,The Iron Orchard,The Iron Orchard,21/02/2019,21/02/2019,42,0K,21,$0.2 Million,2,11,1,0,,204881,1,45863,879,401,204881,$0.2M,,$0M
8.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Music Box Films,Music Box Films,All Others (101 Total),All Others (101 Total),4,8,2,402 / 788,402,Hesburgh,Hesburgh,26/04/2019,26/04/2019,36,0K,21,$0.2 Million,4,11,1,0,,204709,1,17009,85706,402,204709,$0.2M,,$0M
8.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),10,8,2,403 / 788,403,Synonyms,Synonyms,25/10/2019,25/10/2019,13,0K,21,$0.2 Million,10,11,1,0,,203525,1,17891,53286,403,203525,$0.2M,,$0M
56.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),6,12,560,404 / 788,404,Forrest Gump,Forrest Gump,23/06/2019,23/06/2019,560,0K,21,$0.2 Million,6,11,1,0,,203088,1,114767,73931,404,203088,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,None Listed,-,All Others (101 Total),All Others (101 Total),12,9,-,405 / 788,405,Dabangg 3,Dabangg 3,20/12/2019,20/12/2019,294,0K,21,$0.2 Million,12,11,1,0,,202000,1,0,71554,405,202000,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),9,15,-,406 / 788,406,Blink of an Eye,Blink of an Eye,12/09/2019,12/09/2019,517,0K,21,$0.2 Million,9,11,1,0,,201874,1,0,99063,406,201874,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,20,-,407 / 788,407,Friendsgiving Day #2,Friendsgiving Day #2,25/11/2019,25/11/2019,766,0K,21,$0.2 Million,11,11,1,0,,198869,1,0,44608,407,198869,$0.2M,,$0M
31%,All Others (101 Total),,NADA,NADA,Month,18/07/2019,41,Well Go USA Entertainment,Well Go USA Entertainment,All Others (101 Total),All Others (101 Total),6,38,16,408 / 788,408,Chasing the Dragon II: Wild Wild Bunch,Chasing the Dragon II: Wild Wild Bunch,07/06/2019,07/06/2019,16,0K,21,$0.2 Million,6,11,1,0,,196634,1,60971,39156,408,196634,$0.2M,,$0M
10.10%,All Others (101 Total),,NADA,NADA,Month,09/05/2019,20,The Film Arcade,The Film Arcade,All Others (101 Total),All Others (101 Total),4,6,3,409 / 788,409,Family,Family,19/04/2019,19/04/2019,107,0K,21,$0.2 Million,4,11,1,0,,194601,1,19586,80085,409,194601,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,27,383,410 / 788,410,Bolshoi Ballet: Le Corsaire,Bolshoi Ballet: Le Corsaire,17/11/2019,17/11/2019,383,0K,21,$0.2 Million,11,11,1,0,,190192,1,190192,45592,410,190192,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,15,-,411 / 788,411,The Divine Plan,The Divine Plan,06/11/2019,06/11/2019,-,0K,21,$0.2 Million,11,11,1,0,,190031,1,0,93770,411,190031,$0.2M,,$0M
8.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Rialto Pictures,Rialto Pictures,All Others (101 Total),All Others (101 Total),9,9,1,412 / 788,412,Mr. Klein,Mr. Klein,06/09/2019,06/09/2019,6,0K,21,$0.2 Million,9,11,1,0,,189175,1,15915,77172,412,189175,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,24,-,413 / 788,413,42nd Street: The Musical,42nd Street: The Musical,01/05/2019,01/05/2019,515,0K,21,$0.2 Million,5,11,1,0,,187440,1,0,21131,413,187440,$0.2M,,$0M
4.60%,All Others (101 Total),,NADA,NADA,Month,25/04/2019,77,Good Deed Entertainment,Good Deed Entertainment,All Others (101 Total),All Others (101 Total),2,7,1,414 / 788,414,To Dust,To Dust,07/02/2019,07/02/2019,23,0K,21,$0.2 Million,2,11,1,0,,184495,1,8496,67465,414,184495,$0.2M,,$0M
31.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Gravitas Ventures,Gravitas Ventures,All Others (101 Total),All Others (101 Total),5,22,57,415 / 788,415,The River and the Wall,The River and the Wall,03/05/2019,03/05/2019,57,0K,21,$0.2 Million,5,11,1,0,,183602,1,57504,28359,415,183602,$0.2M,,$0M
7.20%,All Others (101 Total),,NADA,NADA,Month,11/04/2019,41,Vertical Entertainment,Vertical Entertainment,All Others (101 Total),All Others (101 Total),3,17,1,416 / 788,416,Giant Little Ones,Giant Little Ones,01/03/2019,01/03/2019,32,0K,21,$0.2 Million,3,11,1,0,,181507,1,13042,25735,416,181507,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,24,383,417 / 788,417,Raymonda: Bolshoi Ballet,Raymonda: Bolshoi Ballet,27/10/2019,27/10/2019,383,0K,21,$0.2 Million,10,11,1,0,,181361,1,181361,78402,417,181361,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),10,24,383,418 / 788,418,Bolshoi Ballet: Raymonda,Bolshoi Ballet: Raymonda,27/10/2019,27/10/2019,383,0K,21,$0.2 Million,10,11,1,0,,181361,1,181361,50254,418,181361,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,11/01/2019,2,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),1,13,370,419 / 788,419,Modest Heroes,Modest Heroes,09/01/2019,09/01/2019,370,0K,21,$0.2 Million,1,11,1,0,,178027,1,178027,85135,419,178027,$0.2M,,$0M
63.30%,All Others (101 Total),,NADA,NADA,Month,28/11/2019,13,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),11,27,276,420 / 788,420,The Warrior Queen of Jhansi,The Warrior Queen of Jhansi,15/11/2019,15/11/2019,277,0K,21,$0.2 Million,11,11,1,0,,177289,1,112208,35663,420,177289,$0.2M,,$0M
55.60%,All Others (101 Total),,NADA,NADA,Month,06/06/2019,13,FIP,FIP,All Others (101 Total),All Others (101 Total),5,19,110,421 / 788,421,India's Most Wanted,India's Most Wanted,24/05/2019,24/05/2019,110,0K,21,$0.2 Million,5,11,1,0,,176858,1,98322,36003,421,176858,$0.2M,,$0M
5.20%,All Others (101 Total),,NADA,NADA,Month,22/08/2019,132,Kino Lorber,Kino Lorber,All Others (101 Total),All Others (101 Total),4,49,1,422 / 788,422,"Iyengar: The Man, Yoga, and the Student's Journey","Iyengar: The Man, Yoga, and the Student's Journey",12/04/2019,12/04/2019,11,0K,21,$0.2 Million,4,11,1,0,,176387,1,9248,2534,422,176387,$0.2M,,$0M
17.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Variance Films,Variance Films,All Others (101 Total),All Others (101 Total),8,21,6,423 / 788,423,Tigers Are Not Afraid,Tigers Are Not Afraid,21/08/2019,21/08/2019,19,0K,21,$0.2 Million,8,11,1,0,,175559,1,30710,59095,423,175559,$0.2M,,$0M
58.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Eros International,Eros International,All Others (101 Total),All Others (101 Total),11,10,65,424 / 788,424,Marjaavaan,Marjaavaan,15/11/2019,15/11/2019,65,0K,21,$0.2 Million,11,11,1,0,,174164,1,101761,79478,424,174164,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,07/04/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),4,30,360,425 / 788,425,Bolshoi Ballet: The Golden Age,Bolshoi Ballet: The Golden Age,07/04/2019,07/04/2019,360,0K,21,$0.2 Million,4,11,1,0,,171916,1,171916,61751,425,171916,$0.2M,,$0M
11.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),10,7,4,426 / 788,426,Frankie,Frankie,25/10/2019,25/10/2019,117,0K,21,$0.2 Million,10,11,1,0,,171781,1,19435,71617,426,171781,$0.2M,,$0M
4.40%,All Others (101 Total),,NADA,NADA,Month,30/05/2019,8,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),5,41,205,427 / 788,427,Asbury Park: Riot Redemption Rock 'n Roll,Asbury Park: Riot Redemption Rock 'n Roll,22/05/2019,22/05/2019,270,0K,21,$0.2 Million,5,11,1,0,,167684,1,7437,40309,427,167684,$0.2M,,$0M
27.10%,All Others (101 Total),,NADA,NADA,Month,,NA,CJ Entertainment,CJ Entertainment,All Others (101 Total),All Others (101 Total),9,19,11,428 / 788,428,Bad Guys: The Movie,Bad Guys: The Movie,20/09/2019,20/09/2019,11,0K,21,$0.2 Million,9,11,1,0,,166972,1,45233,72023,428,166972,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),4,11,614,429 / 788,429,Bright Ones,Bright Ones,22/04/2019,22/04/2019,614,0K,21,$0.2 Million,4,11,1,0,,165627,1,165627,83645,429,165627,$0.2M,,$0M
3.90%,All Others (101 Total),,NADA,NADA,Month,02/08/2019,105,None Listed,-,All Others (101 Total),All Others (101 Total),4,28,5,430 / 788,430,Nureyev: Lifting the Curtain,Nureyev: Lifting the Curtain,19/04/2019,19/04/2019,18,0K,21,$0.2 Million,4,11,1,0,,165203,1,6362,65136,430,165203,$0.2M,,$0M
8.40%,All Others (101 Total),,NADA,NADA,Month,30/05/2019,69,Sony Pictures Classics,Sony Pictures Classics,All Others (101 Total),All Others (101 Total),3,6,3,431 / 788,431,Sunset,Sunset,22/03/2019,22/03/2019,37,0K,21,$0.2 Million,3,11,1,0,,164906,1,13846,74200,431,164906,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),12,33,-,432 / 788,432,INXS: Baby Live at Wembly Stadium,INXS: Baby Live at Wembly Stadium,09/12/2019,09/12/2019,516,0K,21,$0.2 Million,12,11,1,0,,161750,1,0,64650,432,161750,$0.2M,,$0M
11.10%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,14,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),4,28,47,433 / 788,433,Monty Python's Life of Brian,Monty Python's Life of Brian,18/04/2019,18/04/2019,125,0K,21,$0.2 Million,4,11,1,0,,161507,1,18005,92821,433,161507,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,28/03/2019,2,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),3,37,-,434 / 788,434,"Diana Ross: Her Life, Love and Legacy","Diana Ross: Her Life, Love and Legacy",26/03/2019,26/03/2019,623,0K,21,$0.2 Million,3,11,1,0,,160968,1,0,68003,434,160968,$0.2M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,04/05/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),5,6,489,435 / 788,435,Batman,Batman,04/05/2019,04/05/2019,489,0K,21,$0.2 Million,5,11,1,0,,159419,1,159419,88987,435,159419,$0.2M,,$0M
8.30%,All Others (101 Total),,NADA,NADA,Month,,NA,1091 Media,1091 Media,All Others (101 Total),All Others (101 Total),8,16,3,436 / 788,436,Them That Follow,Them That Follow,02/08/2019,02/08/2019,195,0K,21,$0.2 Million,8,11,1,0,,159218,1,13137,69615,436,159218,$0.2M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,02/05/2019,42,CJ Entertainment,CJ Entertainment,All Others (101 Total),All Others (101 Total),3,5,-,437 / 788,437,Money,Money,21/03/2019,21/03/2019,11,0K,21,$0.2 Million,3,11,1,0,,155732,1,0,6459,437,155732,$0.2M,,$0M
21.80%,All Others (101 Total),,NADA,NADA,Month,,NA,Entertainment One,Entertainment One,All Others (101 Total),All Others (101 Total),8,37,25,438 / 788,438,The Death and Life of John F. Donovan,The Death and Life of John F. Donovan,23/08/2019,23/08/2019,25,0K,21,$0.2 Million,8,11,1,0,,152713,1,33340,49545,438,152713,$0.2M,,$0M
7.70%,All Others (101 Total),,NADA,NADA,Month,,NA,The Orchard,The Orchard,All Others (101 Total),All Others (101 Total),5,7,1,439 / 788,439,Halston,Halston,24/05/2019,24/05/2019,30,0K,21,$0.2 Million,5,11,1,0,,151991,1,11643,14032,439,151991,$0.2M,,$0M
17.10%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,27,Amazon Studios,Amazon Studios,All Others (101 Total),All Others (101 Total),4,8,3,440 / 788,440,Peterloo,Peterloo,05/04/2019,05/04/2019,92,0K,21,$0.2 Million,4,11,1,0,,151971,1,26002,81028,440,151971,$0.2M,,$0M
15.20%,All Others (101 Total),,NADA,NADA,Month,,NA,1091 Media,1091 Media,All Others (101 Total),All Others (101 Total),8,18,3,441 / 788,441,Before You Know It,Before You Know It,30/08/2019,30/08/2019,31,0K,21,$0.2 Million,8,11,1,0,,151507,1,23086,35977,441,151507,$0.2M,,$0M
12.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Oscilloscope,Oscilloscope,All Others (101 Total),All Others (101 Total),7,10,1,442 / 788,442,Jay Myself,Jay Myself,31/07/2019,31/07/2019,17,0K,21,$0.2 Million,7,11,1,0,,151331,1,18909,96376,442,151331,$0.2M,,$0M
55.30%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),7,5,435,443 / 788,443,Glory,Glory,21/07/2019,21/07/2019,435,0K,21,$0.2 Million,7,11,1,0,,150801,1,83347,91642,443,150801,$0.2M,,$0M
38.40%,All Others (101 Total),,NADA,NADA,Month,16/05/2019,27,Neon,Neon,All Others (101 Total),All Others (101 Total),4,12,33,444 / 788,444,Little Woods,Little Woods,19/04/2019,19/04/2019,33,0K,21,$0.2 Million,4,11,1,0,,150010,1,57610,76786,444,150010,$0.2M,,$0M
53.10%,All Others (101 Total),,NADA,NADA,Month,30/05/2019,13,Roadside Attractions,Roadside Attractions,All Others (101 Total),All Others (101 Total),5,13,109,445 / 788,445,Trial by Fire,Trial by Fire,17/05/2019,17/05/2019,109,0K,21,$0.1 Million,5,11,1,0,,148504,1,78817,32730,445,148504,$0.1M,,$0M
15.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),2,13,1,446 / 788,446,War and Peace,War and Peace,14/02/2019,14/02/2019,3,0K,21,$0.1 Million,2,11,1,0,,148503,1,22976,87288,446,148503,$0.1M,,$0M
8.80%,All Others (101 Total),,NADA,NADA,Month,18/07/2019,97,Magnolia Pictures,Magnolia Pictures,All Others (101 Total),All Others (101 Total),4,6,3,447 / 788,447,Dogman,Dogman,12/04/2019,12/04/2019,12,0K,21,$0.1 Million,4,11,1,0,,148225,1,13013,6423,447,148225,$0.1M,,$0M
5.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Amazon Studios,Amazon Studios,All Others (101 Total),All Others (101 Total),12,14,2,448 / 788,448,Invisible Life,Invisible Life,20/12/2019,20/12/2019,18,0K,21,$0.1 Million,12,11,1,0,,146535,1,8127,97513,448,146535,$0.1M,,$0M
4.80%,All Others (101 Total),,NADA,NADA,Month,28/07/2019,51,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),6,21,1,449 / 788,449,Framing John DeLorean,Framing John DeLorean,07/06/2019,07/06/2019,28,0K,21,$0.1 Million,6,11,1,0,,145625,1,6991,5739,449,145625,$0.1M,,$0M
11.90%,All Others (101 Total),,NADA,NADA,Month,,NA,IFC Films,IFC Films,All Others (101 Total),All Others (101 Total),6,9,12,450 / 788,450,Hampstead,Hampstead,14/06/2019,14/06/2019,18,0K,21,$0.1 Million,6,11,1,0,,144396,1,17141,53618,450,144396,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,13/03/2019,0,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),3,21,-,451 / 788,451,Doctor Who: Logopolis,Doctor Who: Logopolis,13/03/2019,13/03/2019,428,0K,21,$0.1 Million,3,11,1,0,,143248,1,0,24224,451,143248,$0.1M,,$0M
24.40%,All Others (101 Total),,NADA,NADA,Month,,NA,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),12,39,92,452 / 788,452,Branagh Theatre Live: The Winter's Tale,Branagh Theatre Live: The Winter's Tale,04/12/2019,04/12/2019,106,0K,21,$0.1 Million,12,11,1,0,,141143,1,34380,65865,452,141143,$0.1M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,18,471,453 / 788,453,Canelo vs. Kovalev,Canelo vs. Kovalev,02/11/2019,02/11/2019,471,0K,21,$0.1 Million,11,11,1,0,,140820,1,140820,36303,453,140820,$0.1M,,$0M
100%,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,16,186,454 / 788,454,Wilder vs. Ortiz,Wilder vs. Ortiz,23/11/2019,23/11/2019,186,0K,21,$0.1 Million,11,11,1,0,,139207,1,139207,55245,454,139207,$0.1M,,$0M
9.70%,All Others (101 Total),,NADA,NADA,Month,02/05/2019,105,Abramorama,Abramorama,All Others (101 Total),All Others (101 Total),1,26,1,455 / 788,455,Who Will Write Our History,Who Will Write Our History,17/01/2019,17/01/2019,6,0K,21,$0.1 Million,1,11,1,0,,138039,1,13390,7224,455,138039,$0.1M,,$0M
9%,All Others (101 Total),,NADA,NADA,Month,,NA,Janus Films,Janus Films,All Others (101 Total),All Others (101 Total),11,14,2,456 / 788,456,Varda by Agnès,Varda by Agnès,22/11/2019,22/11/2019,10,0K,21,$0.1 Million,11,11,1,0,,137978,1,12390,60247,456,137978,$0.1M,,$0M
11.60%,All Others (101 Total),,NADA,NADA,Month,,NA,Film Movement,Film Movement,All Others (101 Total),All Others (101 Total),4,6,26,457 / 788,457,Rafiki,Rafiki,19/04/2019,19/04/2019,26,0K,21,$0.1 Million,4,11,1,0,,137968,1,16016,91346,457,137968,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,,NA,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),11,58,-,458 / 788,458,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,07/11/2019,07/11/2019,-,0K,21,$0.1 Million,11,11,1,0,,137888,1,0,98324,458,137888,$0.1M,,$0M
10.50%,All Others (101 Total),,NADA,NADA,Month,,NA,Strand Releasing,Strand Releasing,All Others (101 Total),All Others (101 Total),6,15,5,459 / 788,459,The Other Story,The Other Story,28/06/2019,28/06/2019,11,0K,21,$0.1 Million,6,11,1,0,,135191,1,14163,15805,459,135191,$0.1M,,$0M
0.60%,All Others (101 Total),,NADA,NADA,Month,09/05/2019,17,GKIDS,GKIDS,All Others (101 Total),All Others (101 Total),4,10,1,460 / 788,460,Okko's Inn,Okko's Inn,22/04/2019,22/04/2019,465,0K,21,$0.1 Million,4,11,1,0,,134787,1,763,93946,460,134787,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,07/04/2019,9,Trafalgar Releasing,Trafalgar Releasing,All Others (101 Total),All Others (101 Total),3,15,-,461 / 788,461,Palau the Movie,Palau the Movie,29/03/2019,29/03/2019,135,0K,21,$0.1 Million,3,11,1,0,,134696,1,0,76188,461,134696,$0.1M,,$0M
-,All Others (101 Total),,NADA,NADA,Month,25/03/2019,5,Fathom Events,Fathom Events,All Others (101 Total),All Others (101 Total),3,29,-,462 / 788,462,Made in Abyss: Journey's Dawn,Made in Abyss: Journey's Dawn,20/03/2019,20/03/2019,573,0K,21,$0.1 Million,3,11,1,0,,134047,1,0,67366,462,134047,$0.1M,,$0M
